date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:59	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Fri,%2030%20Dec%202022%2014:23:42%20GMT	https://cantdgjsietu.z28.web.core.windows.net/robots.txt		(from )
22:24:00	275842/275842	---M--	200	added ('OK')	text/html	etag:%220x8DAE96B5823C6B0%22	https://cantdgjsietu.z28.web.core.windows.net/	F:/Shared/phishing_websites/phishing25/phishing25/cantdgjsietu.z28.web.core.windows.net/index.html	(from )
22:24:00	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/Shared/phishing_websites/phishing25/phishing25/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:02	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-152b5%22	https://code.jquery.com/jquery-3.1.1.min.js	F:/Shared/phishing_websites/phishing25/phishing25/code.jquery.com/jquery-3.1.1.min.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:03	271751/271751	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-42587%22	https://code.jquery.com/jquery-3.3.1.js	F:/Shared/phishing_websites/phishing25/phishing25/code.jquery.com/jquery-3.3.1.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:03	54641/54641	---MCZ	200	added ('OK')	text/css	etag:W/%22251d28bd755f5269a4531df8a81d5664%22	https://use.fontawesome.com/releases/v5.7.0/css/all.css	F:/Shared/phishing_websites/phishing25/phishing25/use.fontawesome.com/releases/v5.7.0/css/all.css	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:03	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	F:/Shared/phishing_websites/phishing25/phishing25/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:04	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	F:/Shared/phishing_websites/phishing25/phishing25/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
22:24:04	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing25/phishing25/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://cantdgjsietu.z28.web.core.windows.net/)
