date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:51	20878/20878	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2011:33:50%20GMT	http://www.securedvolcemail.com/sima/index2.php	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2.html	(from )
19:33:51	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/robots.txt		(from )
19:33:52	17174/17174	---M--	200	added ('OK')	image/x-icon	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index_files/favicon_a.ico	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index_files/favicon_a.ico	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:52	853/853	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Apr%202023%2011:33:51%20GMT	https://www.google.com/recaptcha/api.js	F:/Shared/phishing_websites/phishing52/phishing52/www.google.com/recaptcha/api.js	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:53	95463/95463	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/converged.v2.login.min.css	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/converged.v2.login.min.css	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:54	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/%22	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/_.4.delayed	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:55	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/%22back.jpg?x=a5dbd4393ff6a725c7e62b61df7e72f0%22	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/_backc583.jpg	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:55	3651/3651	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/microsoft_logo.svg	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/microsoft_logo.svg	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:55	513/513	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/arrow_left.svg	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/arrow_left.svg	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:56	915/915	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/ellipsis_white.svg	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/ellipsis_white.svg	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:56	915/915	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/ellipsis_grey.svg	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/ellipsis_grey.svg	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:57	3375/3375	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/prefetch.html	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/prefetch.html	(from http://www.securedvolcemail.com/sima/index2.php)
19:33:58	657836/657836	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Jul%202018%2009:36:19%20GMT	https://r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.1.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.1.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:33:58	660362/660362	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Jul%202018%2009:36:20%20GMT	https://r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.2.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.2.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:33:59	657776/657776	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Jul%202018%2009:36:20%20GMT	https://r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.3.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/r4.res.office365.com/owa/prem/16.2478.1.2588899/scripts/boot.worldwide.3.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:33:59	16664/16664	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jul%202018%2009:34:18%20GMT	https://r4.res.office365.com/owa/prem/16.2478.1.2588899/resources/images/0/sprite1.mouse.png	F:/Shared/phishing_websites/phishing52/phishing52/r4.res.office365.com/owa/prem/16.2478.1.2588899/resources/images/0/sprite1.mouse.png	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:33:59	7604/7604	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2009:34:19%20GMT	https://r4.res.office365.com/owa/prem/16.2478.1.2588899/resources/images/0/sprite1.mouse.css	F:/Shared/phishing_websites/phishing52/phishing52/r4.res.office365.com/owa/prem/16.2478.1.2588899/resources/images/0/sprite1.mouse.css	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:01	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/index2_files/boot.worldwide.0.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/boot.worldwide.0.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:01	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/index2_files/boot.worldwide.1.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/boot.worldwide.1.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:01	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/index2_files/boot.worldwide.2.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/boot.worldwide.2.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:02	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2009:24:44%20GMT	http://www.securedvolcemail.com/sima/index2_files/boot.worldwide.3.mouse.js	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/boot.worldwide.3.mouse.js	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:02	16664/16664	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/sprite1.mouse.png	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/sprite1.mouse.png	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:02	7604/7604	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/sprite1.mouse.css	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/sprite1.mouse.css	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
19:34:04	232417/232417	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2017:03:36%20GMT	http://www.securedvolcemail.com/sima/index2_files/boot.worldwide.mouse.css	F:/Shared/phishing_websites/phishing52/phishing52/www.securedvolcemail.com/sima/index2_files/boot.worldwide.mouse.css	(from http://www.securedvolcemail.com/sima/index2_files/prefetch.html)
