date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:32	100571/100571	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2013:21:49%20GMT	https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html	F:/Shared/phishing_websites/phishing5/phishing5/storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html	(from )
23:40:33	204/204	---MCZ	200	added ('OK')	application/xml	date:Wed,%2021%20Dec%202022%2015:40:23%20GMT	https://storageapi-stg.fleek.co/robots.txt		(from )
23:40:33	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/Shared/phishing_websites/phishing5/phishing5/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:35	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-152b5%22	https://code.jquery.com/jquery-3.1.1.min.js	F:/Shared/phishing_websites/phishing5/phishing5/code.jquery.com/jquery-3.1.1.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:35	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	F:/Shared/phishing_websites/phishing5/phishing5/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:35	11026/11026	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2021%20Dec%202022%2015:40:25%20GMT	https://kit.fontawesome.com/585b051251.js	F:/Shared/phishing_websites/phishing5/phishing5/kit.fontawesome.com/585b051251.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:36	60312/60312	---MCZ	200	added ('OK')	text/css	etag:W/%22a12ec7ebe75a4d59a5dd6b79e2ba2e16%22	https://kit-free.fontawesome.com/releases/latest/css/free.min.css	F:/Shared/phishing_websites/phishing5/phishing5/kit-free.fontawesome.com/releases/latest/css/free.min.css	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:36	26682/26682	---MCZ	200	added ('OK')	text/css	etag:W/%2276f34b71fc9fb641507ff6a822cc07f5%22	https://kit-free.fontawesome.com/releases/latest/css/free-v4-shims.min.css	F:/Shared/phishing_websites/phishing5/phishing5/kit-free.fontawesome.com/releases/latest/css/free-v4-shims.min.css	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:42	372780/372780	---M--	200	added ('OK')	image/png	etag:%22214d%22	https://i.gyazo.com/214d89a26f0ac918a09f216a1b0f97b4.png	F:/Shared/phishing_websites/phishing5/phishing5/i.gyazo.com/214d89a26f0ac918a09f216a1b0f97b4.png	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:43	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	F:/Shared/phishing_websites/phishing5/phishing5/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:43	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	F:/Shared/phishing_websites/phishing5/phishing5/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:43	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing5/phishing5/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
23:40:44	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267176c242e1bdc20603c878dee836df3%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing5/phishing5/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://storageapi-stg.fleek.co/02eb2591-f5e0-4e2f-a6c1-fc914a8143e9-bucket/wordindx.html)
