date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:09	865/865	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20Feb%202015%2006:12:50%20GMT	http://a1marinematters.com.au/robots.txt		(from )
00:18:09	5647/5647	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2023:34:18%20GMT	http://a1marinematters.com.au/CatABfiledoc/	F:/Shared/phishing_websites/phishing19/phishing19/a1marinematters.com.au/CatABfiledoc/index.html	(from )
00:18:10	3651/3651	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2017%20Feb%202021%2012:27:46%20GMT	http://a1marinematters.com.au/CatABfiledoc/images/microsoft_logo_ee5c8d9fb6248c938fd0dc19370e90bd.svg	F:/Shared/phishing_websites/phishing19/phishing19/a1marinematters.com.au/CatABfiledoc/images/microsoft_logo_ee5c8d9fb6248c938fd0dc19370e90bd.svg	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:11	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	F:/Shared/phishing_websites/phishing19/phishing19/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:11	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	F:/Shared/phishing_websites/phishing19/phishing19/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:15	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	F:/Shared/phishing_websites/phishing19/phishing19/code.jquery.com/jquery-3.2.1.slim.min.js	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:15	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing19/phishing19/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:18	51039/51039	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing19/phishing19/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:22	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/Shared/phishing_websites/phishing19/phishing19/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from http://a1marinematters.com.au/CatABfiledoc/)
00:18:31	372780/372780	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2012:28:30%20GMT	http://a1marinematters.com.au/CatABfiledoc/images/214d89a26f0ac918a09f216a1b0f97b4.png	F:/Shared/phishing_websites/phishing19/phishing19/a1marinematters.com.au/CatABfiledoc/images/214d89a26f0ac918a09f216a1b0f97b4.png	(from http://a1marinematters.com.au/CatABfiledoc/)
