date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:35	18912/18912	---MC-	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:59:34%20GMT	https://login-netflx-user.com/steps/login/index.php	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/index.html	(from )
20:59:37	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:59:36%20GMT	https://login-netflx-user.com/robots.txt		(from )
20:59:38	11540/11540	---M--	200	added ('OK')	text/css	etag:%2263e81c41-2d14%22	https://login-netflx-user.com/steps/login/assets/styles.css	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/styles.css	(from https://login-netflx-user.com/steps/login/index.php)
20:59:38	133840/133840	---M--	200	added ('OK')	text/css	etag:%2263e81c41-20ad0%22	https://login-netflx-user.com/steps/login/assets/style.css	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/style.css	(from https://login-netflx-user.com/steps/login/index.php)
20:59:39	52582/52582	---M--	200	added ('OK')	text/css	etag:%2263e81c41-cd66%22	https://login-netflx-user.com/steps/login/assets/styles__ltr.css	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/styles__ltr.css	(from https://login-netflx-user.com/steps/login/index.php)
20:59:39	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:59:38%20GMT	https://login-netflx-user.com/steps/login/assets/none(2).js	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/none(2).js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:39	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:59:38%20GMT	https://login-netflx-user.com/steps/login/assets/none(3).js	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/none(3).js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:40	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	F:/Shared/phishing_websites/phishing30/phishing30/code.jquery.com/jquery-3.6.0.min.js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:40	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:59:39%20GMT	https://login-netflx-user.com/steps/login/assets/jquery.mask.js	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/jquery.mask.js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:41	282944/282944	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45140%22	https://code.jquery.com/jquery-1.11.0.js	F:/Shared/phishing_websites/phishing30/phishing30/code.jquery.com/jquery-1.11.0.js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:41	219207/219207	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Feb%202023%2012:59:40%20GMT	https://rawgit.com/RobinHerbots/jquery.inputmask/3.x/dist/jquery.inputmask.bundle.js	F:/Shared/phishing_websites/phishing30/phishing30/rawgit.com/RobinHerbots/jquery.inputmask/3.x/dist/jquery.inputmask.bundle.js	(from https://login-netflx-user.com/steps/login/index.php)
20:59:42	1755/1755	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Jun%202016%2022:29:33%20GMT	https://assets.nflxext.com/us/ffe/siteui/common/icons/nficon2016.png	F:/Shared/phishing_websites/phishing30/phishing30/assets.nflxext.com/us/ffe/siteui/common/icons/nficon2016.png	(from https://login-netflx-user.com/steps/login/index.php)
20:59:43	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2020%20Feb%202023%2012:59:42%20GMT	https://www.netflix.com/Netflix_files/FR-fr-20220307-popsignuptwoweeks-perspective_alpha_website_small.jpg	F:/Shared/phishing_websites/phishing30/phishing30/www.netflix.com/Netflix_files/FR-fr-20220307-popsignuptwoweeks-perspective_alpha_website_small.b.delayed	(from https://login-netflx-user.com/steps/login/index.php)
20:59:44	16902/16902	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:59:43%20GMT	https://www.netflix.com/NotFound?prev=https%3A%2F%2Fwww.netflix.com%2FNetflix_files%2FFR-fr-20220307-popsignuptwoweeks-perspective_alpha_website_small.jpg	F:/Shared/phishing_websites/phishing30/phishing30/www.netflix.com/NotFound38fe.html	(from https://login-netflx-user.com/steps/login/index.php)
20:59:44	1455/1455	---M--	200	added ('OK')	image/png	etag:%2263e81c41-5af%22	https://login-netflx-user.com/steps/login/assets/FB-f-Logo__blue_57.png	F:/Shared/phishing_websites/phishing30/phishing30/login-netflx-user.com/steps/login/assets/FB-f-Logo__blue_57.png	(from https://login-netflx-user.com/steps/login/index.php)
20:59:46	1076/1076	---MCZ	200	added ('OK')	text/plain	date:Mon,%2020%20Feb%202023%2012:59:45%20GMT	https://www.netflix.com/robots.txt		(from https://login-netflx-user.com/steps/login/index.php)
20:59:46	9816/9816	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Jan%202023%2019:05:46%20GMT	https://assets.nflxext.com/web/ffe/wp/less/core/error-page.b122c37502204303115a.css	F:/Shared/phishing_websites/phishing30/phishing30/assets.nflxext.com/web/ffe/wp/less/core/error-page.b122c37502204303115a.css	(from https://www.netflix.com/NotFound?prev=https%3A%2F%2Fwww.netflix.com%2FNetflix_files%2FFR-fr-20220307-popsignuptwoweeks-perspective_alpha_website_small.jpg)
20:59:46	11197/11197	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2021:20:44%20GMT	https://assets.nflxext.com/web/ffe/wp/less/core/not-found.b1d1f69ee775faf52d43.css	F:/Shared/phishing_websites/phishing30/phishing30/assets.nflxext.com/web/ffe/wp/less/core/not-found.b1d1f69ee775faf52d43.css	(from https://www.netflix.com/NotFound?prev=https%3A%2F%2Fwww.netflix.com%2FNetflix_files%2FFR-fr-20220307-popsignuptwoweeks-perspective_alpha_website_small.jpg)
